Total,,"  5,019 ","  4,894 ","  2,749 ","  2,270 ","  2,743 ","  2,825 ","  2,810 ","  2,793 ","  2,860 ","2,934"
"Less than $10,000",,,,"  1,966 ","  1,090 ",  693 ,  727 ,  722 ,  706 ,  749 ,659
"$10,000 to $14,999",,,,  187 ,  234 ,  303 ,  386 ,  351 ,  280 ,  271 ,317
"$15,000 to $19,999",,,,  168 ,  164 ,  281 ,  235 ,  210 ,  153 ,  152 ,191
"$20,000 to $24,999",,,,  58 ,  115 ,  308 ,  247 ,  126 ,  140 ,  121 ,169
"$25,000 to $29,999",,,,  133 ,  100 ,  63 ,  72 ,  151 ,  171 ,  212 ,199
"$30,000 to $34,999",,,,  66 ,  114 ,  118 ,  97 ,  110 ,  179 ,  190 ,148
"$35,000 to $39,999",,,,  42 ,  118 ,  107 ,  166 ,  155 ,  126 ,  125 ,132
"$40,000 to $44,999",,,,  28 ,  52 ,  118 ,  132 ,  160 ,  136 ,  125 ,131
"$45,000 to $49,999",,,,  6 ,  34 ,  40 ,  66 ,  87 ,  97 ,  103 ,89
